School Name,Address
EMERSON COMM CHRTR MS,1650 SELBY AVE LOS ANGELES 90024
SHENANDOAH ES,2450 SHENANDOAH ST LOS ANGELES 90034
NIMITZ MS,6021 CARMELITA AVE HUNTINGTON PARK 90255
CAMINO NUEVO HS,1215 W MIRAMAR ST LOS ANGELES 90006
SHERMAN OAKS CHRTR,14755 GREENLEAF ST SHERMAN OAKS 91403
ARAGON ES,1118 ARAGON AVE LOS ANGELES 90065
BELL HS,4328 BELL AVE BELL 90201
VISTA DEL VALLE DL ACAD,12411 N BROMONT AVE LOS ANGELES 91340
OCEAN CHARTER SCHOOL,12606 CULVER BLVD LOS ANGELES 90066
STANFORD ES,2833 ILLINOIS AVE SOUTH GATE 90280
ALTA LOMA ES,1745 VINEYARD AVE LOS ANGELES 90019
MANCHESTER ES,661 W 87TH ST LOS ANGELES 90044
MARIPOSA-NABI PC,987 S MARIPOSA AVE LOS ANGELES 90006
GARFIELD CAS-AEWC,4343 NEW YORK AVE LOS ANGELES 90022
WALLIS ANNENBERG HIGH SCHOOL,4000 S MAIN ST LOS ANGELES 90037
BECKFORD CHRTR FOR ENRICHED STUDIES,19130 TULSA ST NORTHRIDGE 91326
GRIFFITH MS,4765 E FOURTH ST LOS ANGELES 90022
PUC COMMUNITY CHARTER MS,11500 ELDRIDGE AVE LAKEVIEW TERRACE 91342
EVANS ADLT,717 N FIGUEROA ST LOS ANGELES 90012
AUDUBON MS,4120 11TH AVE LOS ANGELES 90008
WESTSIDE GLBL AWR MAG,104 ANCHORAGE ST MARINA DEL REY 90292
PIO PICO MS,1512 S ARLINGTON AVE LOS ANGELES 90019
PARMELEE ES,1338 E 76TH PL LOS ANGELES 90001
BELVEDERE MS,312 N RECORD AVE LOS ANGELES 90063
VERMONT ES,1435 W 27TH ST LOS ANGELES 90007
MC ALISTER HS-CYESIS,611 S CARONDELET ST LOS ANGELES 90057
BSD-OPER-YALE,936 YALE ST LOS ANGELES 90012
EL SERENO MS,2839 N EASTERN AVE LOS ANGELES 90032
KNOX ES,8919 S MAIN ST LOS ANGELES 90003
